RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,3/31/2019,3/31/2020,3/31/2021,3/31/2022,3/31/2023
394917,282,Niles, MI,msa,MI,289131,302214,306618,348101,411479,428491
394873,283,Monroe, MI,msa,MI,242410,255737,263401,292659,322622,332178
395066,284,Santa Fe, NM,msa,NM,569199,595888,645683,744784,881487,882629
394493,285,Concord, NH,msa,NH,359553,373857,395260,460586,531790,554409
394314,286,Alexandria, LA,msa,LA,233827,232848,234398,245665,257268,258543
395163,287,Traverse City, MI,msa,MI,383130,399656,425671,479484,591341,628727
394359,288,Bangor, ME,msa,ME,218467,227514,236721,276148,322669,339117
394685,289,Homosassa Springs, FL,msa,FL,248367,263363,275472,317448,395934,419343
394662,290,Hanford, CA,msa,CA,293050,302082,306026,371823,426907,428014
394723,291,Jefferson City, MO,msa,MO,243403,257445,262709,298127,342644,356007
394598,292,Florence, AL,msa,AL,204587,210591,222771,247470,286813,307126
394537,293,Dothan, AL,msa,AL,204005,207053,215879,230540,261260,278265
394802,294,London, KY,msa,KY,164225,161623,164524,187664,211459,226124
394306,295,Albany, GA,msa,GA,175134,180909,189361,208905,244687,259915
395102,297,Sioux City, IA,msa,IA,241475,247867,255425,275794,305907,324466
395223,298,Wichita Falls, TX,msa,TX,172538,181634,193092,213675,253312,264550
395152,299,Texarkana, TX,msa,TX,190769,196631,205031,224522,261086,271283
395182,300,Valdosta, GA,msa,GA,196566,203764,214370,236362,278040,291474
394800,301,Logan, UT,msa,UT,367458,395691,418605,489653,606749,585856
394595,302,Flagstaff, AZ,msa,AZ,516240,544745,578433,668705,864367,883113
395036,303,Rocky Mount, NC,msa,NC,187893,195439,205792,236791,274651,297809
395000,304,Pottsville, PA,msa,PA,153713,157226,167384,193016,218579,228067
394515,305,Dalton, GA,msa,GA,198221,207061,221338,248372,295429,301798
394783,306,Lebanon, PA,msa,PA,282017,292034,305843,339246,384221,405533
394880,307,Morristown, TN,msa,TN,220898,245635,270489,297503,368960,379186
395232,308,Winchester, VA,msa,VA,357890,369070,383049,429859,492680,495115
395221,309,Wheeling, WV,msa,OH,175859,181645,187888,207427,219187,222871
394879,310,Morgantown, WV,msa,WV,291914,293369,294128,320100,341410,346020
394756,311,La Crosse, WI,msa,WI,275963,288547,301424,331131,366948,383763
394900,312,Napa, CA,msa,CA,1151518,1202284,1198008,1390048,1589072,1506566
395013,313,Rapid City, SD,msa,SD,300743,317900,339462,385219,472594,505100
395139,314,Sumter, SC,msa,SC,190294,199890,210918,228340,260413,271549
394577,315,Eureka, CA,msa,CA,469715,475489,485344,513490,584460,554865
395117,316,Springfield, OH,msa,OH,177318,186411,196598,224659,254034,267973
394668,317,Harrisonburg, VA,msa,VA,312851,319518,331759,371542,418135,440935
394368,318,Battle Creek, MI,msa,MI,174305,175725,186098,204045,245171,252795
395094,319,Sherman, TX,msa,TX,272259,288038,301912,340657,424872,457011
394821,320,Manhattan, KS,msa,KS,289809,297094,300394,331203,364515,382878
394442,321,Carbondale, IL,msa,IL,172950,164725,166508,179916,210578,216157
394727,322,Johnstown, PA,msa,PA,125530,128408,137575,140129,157925,156917
394728,323,Jonesboro, AR,msa,AR,206131,212886,221121,239026,275360,289715
394390,324,Bismarck, ND,msa,ND,372500,376574,386139,410742,453409,467117
394661,325,Hammond, LA,msa,LA,240376,240465,243660,254684,285092,287004
394983,326,Pittsfield, MA,msa,MA,386117,397860,411276,479229,566054,596288
394890,327,Mount Vernon, WA,msa,WA,517887,554009,589370,681073,798413,784586
394719,328,Jamestown, NY,msa,NY,166302,171685,181499,207436,244176,255128
395153,329,The Villages, FL,msa,FL,377182,406898,426247,446483,557842,588283
394307,330,Albany, OR,msa,OR,360395,385653,407041,464368,533936,535162
394633,331,Glens Falls, NY,msa,NY,304140,312341,322047,359746,415836,430166
394780,332,Lawton, OK,msa,OK,174450,176977,179642,199931,223307,236795
394474,334,Cleveland, TN,msa,TN,241454,253864,270816,308778,374602,388162
