RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,Monthly Pmt,Total 2018,3/31/2019,Monthly Pmt,Total 2019,3/31/2020,Monthly Pmt,Total 2020,3/31/2021,Monthly Pmt,Total 2021,3/31/2022,Monthly Pmt,Total 2022,3/31/2023,Monthly Pmt,Total 2023,,,
394466,28,Cincinnati, OH,msa,OH,"289,272.45","1,472.58"," 530,130.31 ","304,426.22","1,442.87"," 519,432.03 ","316,683.24","1,352.29"," 486,824.17 ","355,497.11","1,491.13"," 536,807.49 ","398,265.50","2,221.49"," 799,736.43 ","414,972.36","2,685.99"," 966,955.79 ",,,
394355,29,Austin, TX,msa,TX,"494,035.34","2,514.96"," 905,385.59 ","512,273.72","2,427.99"," 874,075.10 ","547,910.02","2,339.67"," 842,279.63 ","646,850.43","2,713.21"," 976,756.63 ","823,382.17","4,592.75"," 1,653,391.30 ","797,724.91","5,163.43"," 1,858,833.98 ",,,
394775,30,Las Vegas, NV,msa,NV,"391,134.66","1,991.13"," 716,806.38 ","424,113.92","2,010.14"," 723,651.05 ","436,818.22","1,865.29"," 671,502.76 ","474,640.91","1,990.88"," 716,716.93 ","570,433.81","3,181.83"," 1,145,458.74 ","557,989.67","3,611.70"," 1,300,210.32 ",,,
394735,31,Kansas City, MO,msa,MO,"326,205.34","1,660.60"," 597,814.75 ","340,696.36","1,614.77"," 581,318.53 ","353,959.00","1,511.46"," 544,126.67 ","390,926.52","1,639.74"," 590,306.59 ","440,383.27","2,456.42"," 884,310.95 ","458,396.22","2,967.06"," 1,068,140.73 ",,,
394492,32,Columbus, OH,msa,OH,"318,695.70","1,622.37"," 584,052.33 ","331,158.72","1,569.57"," 565,044.78 ","348,091.19","1,486.41"," 535,106.33 ","387,548.93","1,625.57"," 585,206.36 ","436,698.04","2,435.86"," 876,910.83 ","460,735.82","2,982.20"," 1,073,592.40 ",,,
394705,34,Indianapolis, IN,msa,IN,"282,016.19","1,435.65"," 516,832.24 ","295,469.22","1,400.41"," 504,149.01 ","309,715.86","1,322.54"," 476,113.50 ","350,575.91","1,470.49"," 529,376.39 ","411,232.00","2,293.82"," 825,773.79 ","421,592.12","2,728.84"," 982,380.95 ",,,
394475,35,Cleveland, OH,msa,OH,"256,403.39","1,305.26"," 469,893.38 ","265,303.58","1,257.44"," 452,678.41 ","273,428.74","1,167.59"," 420,330.80 ","304,526.10","1,277.33"," 459,840.29 ","336,409.02","1,876.46"," 675,525.62 ","353,932.65","2,290.90"," 824,722.94 ",,,
395059,36,San Jose, CA,msa,CA,"1,849,944.01","9,417.41"," 3,390,268.89 ","1,978,868.19","9,379.10"," 3,376,475.00 ","1,939,262.75","8,280.97"," 2,981,149.19 ","2,095,772.77","8,790.71"," 3,164,657.31 ","2,583,113.01","14,408.38"," 5,187,016.12 ","2,401,166.93","15,542.01"," 5,595,125.12 ",,,
394902,37,Nashville, TN,msa,TN,"426,098.36","2,169.12"," 780,882.02 ","446,586.90","2,116.66"," 761,995.93 ","472,616.43","2,018.15"," 726,533.88 ","529,212.18","2,219.78"," 799,120.60 ","683,917.16","3,814.83"," 1,373,338.80 ","704,099.01","4,557.42"," 1,640,669.80 ",,,
395194,38,Virginia Beach, VA,msa,VA,"370,308.39","1,885.11"," 678,639.47 ","377,083.68","1,787.24"," 643,404.97 ","389,727.01","1,664.20"," 599,111.37 ","427,179.78","1,791.80"," 645,049.71 ","480,968.00","2,682.80"," 965,807.05 ","499,276.15","3,231.66"," 1,163,397.89 ",,,
395005,39,Providence, RI,msa,RI,"446,289.59","2,271.90"," 817,885.14 ","463,113.14","2,194.98"," 790,194.09 ","480,317.32","2,051.03"," 738,372.14 ","545,304.18","2,287.28"," 823,419.83 ","619,797.08","3,457.17"," 1,244,582.58 ","645,375.04","4,177.31"," 1,503,833.01 ",,,
394714,40,Jacksonville, FL,msa,FL,"345,744.55","1,760.06"," 633,622.96 ","362,524.50","1,718.23"," 618,563.14 ","375,416.08","1,603.09"," 577,111.76 ","418,091.86","1,753.69"," 631,326.77 ","537,391.64","2,997.52"," 1,079,108.46 ","570,757.25","3,694.34"," 1,329,960.94 ",,,
394862,41,Milwaukee, WI,msa,WI,"359,983.97","1,832.55"," 659,718.59 ","375,476.54","1,779.62"," 640,662.76 ","393,117.06","1,678.67"," 604,322.75 ","428,078.16","1,795.57"," 646,406.28 ","457,022.04","2,549.23"," 917,722.41 ","475,411.41","3,077.19"," 1,107,789.00 ",,,
394935,42,Oklahoma City, OK,msa,OK,"255,316.43","1,299.73"," 467,901.38 ","262,970.74","1,246.38"," 448,697.97 ","273,141.27","1,166.36"," 419,888.89 ","294,409.68","1,234.90"," 444,564.30 ","338,223.30","1,886.58"," 679,168.78 ","355,576.44","2,301.54"," 828,553.25 ",,,
395012,43,Raleigh, NC,msa,NC,"421,612.71","2,146.28"," 772,661.47 ","436,619.87","2,069.42"," 744,989.53 ","448,114.69","1,913.52"," 688,868.36 ","490,892.24","2,059.05"," 741,256.75 ","618,405.46","3,449.41"," 1,241,788.14 ","638,424.08","4,132.32"," 1,487,636.10 ",,,
394849,44,Memphis, TN,msa,TN,"255,576.20","1,301.05"," 468,377.44 ","270,210.96","1,280.70"," 461,051.70 ","287,858.69","1,229.20"," 442,513.37 ","321,211.27","1,347.32"," 485,035.21 ","374,098.89","2,086.69"," 751,208.70 ","387,412.43","2,507.60"," 902,736.50 ",,,
395022,45,Richmond, VA,msa,VA,"365,704.44","1,861.67"," 670,202.11 ","378,135.85","1,792.22"," 645,200.25 ","390,766.32","1,668.64"," 600,709.06 ","430,807.58","1,807.02"," 650,527.76 ","481,890.17","2,687.94"," 967,658.82 ","468,492.51","3,032.41"," 1,091,666.80 ",,,
394807,46,Louisville, KY,msa,KY,"285,827.30","1,455.05"," 523,816.61 ","300,617.01","1,424.81"," 512,932.51 ","311,055.54","1,328.26"," 478,172.94 ","343,139.56","1,439.30"," 518,147.36 ","380,843.11","2,124.31"," 764,751.42 ","393,761.33","2,548.70"," 917,530.51 ",,,
394910,47,New Orleans, LA,msa,LA,"325,461.64","1,656.81"," 596,451.82 ","327,733.78","1,553.34"," 559,200.92 ","342,582.41","1,462.88"," 526,637.91 ","360,637.42","1,512.69"," 544,569.46 ","400,983.32","2,236.65"," 805,193.94 ","401,879.12","2,601.24"," 936,446.33 ",,,
395053,48,Salt Lake City, UT,msa,UT,"494,972.40","2,519.73"," 907,102.87 ","529,539.16","2,509.82"," 903,534.53 ","560,886.36","2,395.08"," 862,227.63 ","646,668.92","2,712.45"," 976,482.54 ","779,011.49","4,345.26"," 1,564,292.83 ","758,677.30","4,910.68"," 1,767,846.44 ",,,
394669,49,Hartford, CT,msa,CT,"354,138.04","1,802.79"," 649,005.14 ","355,104.63","1,683.06"," 605,902.87 ","357,993.36","1,528.69"," 550,328.53 ","396,560.14","1,663.37"," 598,813.46 ","438,344.66","2,445.05"," 880,217.32 ","467,116.22","3,023.50"," 1,088,459.81 ",,,
394425,50,Buffalo, NY,msa,NY,"265,490.92","1,351.52"," 486,547.49 ","278,258.10","1,318.84"," 474,782.26 ","290,008.05","1,238.38"," 445,817.50 ","321,993.09","1,350.60"," 486,215.78 ","358,129.06","1,997.61"," 719,140.51 ","370,805.97","2,400.11"," 864,040.63 ",,,
394388,51,Birmingham, AL,msa,AL,"292,580.23","1,489.42"," 536,192.26 ","306,753.50","1,453.90"," 523,402.99 ","324,086.30","1,383.90"," 498,204.59 ","355,909.41","1,492.86"," 537,430.08 ","403,808.01","2,252.41"," 810,866.06 ","421,386.30","2,727.50"," 981,901.36 ",,,
395031,52,Rochester, NY,msa,NY,"243,795.32","1,241.08"," 446,787.41 ","253,378.12","1,200.92"," 432,330.41 ","265,726.44","1,134.70"," 408,490.37 ","296,832.72","1,245.06"," 448,223.13 ","326,514.88","1,821.27"," 655,657.70 ","347,046.37","2,246.32"," 808,676.75 ",,,
394640,53,Grand Rapids, MI,msa,MI,"312,488.89","1,590.77"," 572,677.53 ","327,413.87","1,551.82"," 558,655.07 ","340,629.03","1,454.54"," 523,635.05 ","379,793.56","1,593.04"," 573,495.60 ","433,372.40","2,417.31"," 870,232.78 ","442,437.49","2,863.76"," 1,030,954.19 ",,,
395167,54,Tucson, AZ,msa,AZ,"321,813.72","1,638.24"," 589,766.52 ","339,030.01","1,606.88"," 578,475.29 ","355,631.38","1,518.60"," 546,697.55 ","405,594.89","1,701.27"," 612,456.11 ","484,889.99","2,704.67"," 973,682.60 ","505,489.68","3,271.88"," 1,177,876.46 ",,,
753924,55,Urban Honolulu, HI,msa,HI,"1,042,792.82","5,308.49"," 1,911,056.79 ","1,053,549.53","4,993.43"," 1,797,635.47 ","1,054,924.78","4,504.70"," 1,621,692.65 ","1,127,815.44","4,730.62"," 1,703,023.07 ","1,374,493.95","7,666.81"," 2,760,050.47 ","1,349,119.09","8,732.43"," 3,143,675.69 ",,,
395169,56,Tulsa, OK,msa,OK,"242,841.13","1,236.22"," 445,038.73 ","248,274.67","1,176.73"," 423,622.56 ","259,756.73","1,109.20"," 399,313.38 ","290,884.96","1,220.12"," 439,241.90 ","335,050.37","1,868.88"," 672,797.38 ","352,520.25","2,281.76"," 821,431.81 ",,,
394619,57,Fresno, CA,msa,CA,"381,283.00","1,940.98"," 698,751.90 ","401,870.11","1,904.71"," 685,697.20 ","411,514.67","1,757.24"," 632,604.64 ","457,740.18","1,919.99"," 691,196.50 ","539,053.79","3,006.79"," 1,082,446.14 ","537,826.35","3,481.18"," 1,253,226.37 ",,,
395238,58,Worcester, MA,msa,MA,"418,709.44","2,131.50"," 767,340.84 ","431,494.99","2,045.13"," 736,245.12 ","445,112.55","1,900.70"," 684,253.29 ","499,975.95","2,097.15"," 754,973.33 ","556,139.29","3,102.10"," 1,116,754.65 ","579,000.17","3,747.69"," 1,349,168.34 ",,,
394938,59,Omaha, NE,msa,NE,"304,337.96","1,549.28"," 557,739.86 ","316,131.36","1,498.34"," 539,404.11 ","333,322.20","1,423.34"," 512,402.56 ","368,979.51","1,547.68"," 557,166.18 ","413,629.50","2,307.19"," 830,588.08 ","430,880.17","2,788.95"," 1,004,023.68 ",,,
394415,60,Bridgeport, CT,msa,CT,"855,731.60","4,356.23"," 1,568,242.18 ","841,495.89","3,988.38"," 1,435,815.61 ","821,513.14","3,508.00"," 1,262,878.50 ","925,171.43","3,880.63"," 1,397,026.71 ","1,076,339.30","6,003.73"," 2,161,341.48 ","1,134,842.54","7,345.49"," 2,644,375.08 ",,,
